Wed May 13 00:37:04 +0000 2015,#76ers #Philadelphia76ers Stephen A. Smith calls Sixers' new logo 'corny' http://t.co/PhX8fxnJ7p
Wed May 13 00:36:38 +0000 2015,Son v God Son in the playoffs! #76ers @ Independence High School https://t.co/819J5IIOr1
Wed May 13 00:28:24 +0000 2015,Picture This: New Sixers Logo Unveiled   http://t.co/Z3JOyE4Kx9  #76ers #michaelpreston #nba
Wed May 13 00:21:03 +0000 2015,The #76ers new logo though 😂😂
Wed May 13 00:17:01 +0000 2015,The #76ers new "Ben Franklin" logo is exactly that: reverting and reflecting on the last time they were a good team.
Wed May 13 00:15:54 +0000 2015,RT @76ersViews: #76ers #Sixers Stephen A. tees off on 76ers logo http://t.co/fc2xdanPQW
Wed May 13 00:10:14 +0000 2015,RT @Sportsnet: #76ers unveil new logos announce new jerseys. Who knew Ben Franklin was a baller? http://t.co/Oq6bQQNF2X http://t.co/yijy2u…
Tue May 12 23:49:49 +0000 2015,New #sixers logo! Love it! #Stillafan #Philly #76ers #Philadelphia #NBA https://t.co/AOOKVFXaXv
Tue May 12 23:48:08 +0000 2015,"In this world nothing can be said to be certain except dunks and broken ankles." #BenFranklin #76ers
Tue May 12 23:44:09 +0000 2015,It is awesome! #76ers  https://t.co/5CuVFYqkS5
Tue May 12 23:42:04 +0000 2015,http://t.co/sXhl79ZZwlAmen @stephenasmith ! Bout time someone called out the farce that is Sam Hinkle! #76ers
Tue May 12 23:39:14 +0000 2015,@SportsCenter lol! now that was funny! @stephenasmith #76ers #BenjaminFranklin
Tue May 12 23:36:06 +0000 2015,#76ers #Sixers Stephen A. tees off on 76ers logo http://t.co/fc2xdanPQW
Tue May 12 23:33:02 +0000 2015,#Images: #76ers Reveal New Team Logos " (via @TeamStream) http://t.co/jnvEYxLeAh
Tue May 12 23:32:41 +0000 2015,Would you rather sports edition. WYR: have a horrible team change their logo or a good team change their roster? #76ers
Tue May 12 23:29:02 +0000 2015,Stephen A. tees off on 76ers logo #76ers #Philadelphia76ers http://t.co/aVUZsUlA9t http://t.co/F4mPrPIlFQ
Tue May 12 23:28:29 +0000 2015,I kinda do just a smidge but I'm sure the die hard #76ers fans &amp the city of #Philly will object N prob #riot bc it's a white guy..haha
Tue May 12 23:24:18 +0000 2015,Honestly though who the hell thought the 76ers new logo was gonna be a good idea? Yikes #76ers #LetsGetReadyToLose
Tue May 12 23:23:18 +0000 2015,This is real and it's spectacular. #Sixers #76ers http://t.co/8Mx9smpTXA
Tue May 12 23:21:08 +0000 2015,#76ers Tweets: One week. Be there. » http://t.co/m5fuf4usEa http://t.co/auqE0ENJe3 #NBA http://t.co/nLngwiYXe2
Tue May 12 23:18:24 +0000 2015,#NBA #76ers- NBA Philadelphia 76ers Sixers Basketball Jersey Nike Allen Iverson 3 Mens ... http://t.co/ILupLYk1ZN http://t.co/k33Sm3HFUt
Tue May 12 23:18:23 +0000 2015,#NBA #76ers- Allen Iverson Philadelphia 76ers Nike Rewind 1966 Swingman Youth Medium NB... http://t.co/vhqdpvzHz5 http://t.co/k33Sm3HFUt
Tue May 12 23:18:23 +0000 2015,#NBA #76ers- Philadelphia 76ers XXL Nike Team Shorts Drawstring Blue Red NBA Basketball... http://t.co/kKPsa23t89 http://t.co/k33Sm3HFUt
Tue May 12 23:18:23 +0000 2015,#NBA #76ers- Philadelphia 76ers Sixers Bear Blue 9" Vintage NBA Basketball Plush Stuffe... http://t.co/fTuTzjP4P6 http://t.co/k33Sm3HFUt
Tue May 12 23:09:49 +0000 2015,#d1lockermedia #NBA #USA #TheGreatest #Champions #Legends #Throwback #Philadelphia #76ers #AllenIverson #TheAnswer … http://t.co/NYYXVswhSy
Tue May 12 23:09:33 +0000 2015,Hey @Sixers #Philadelphia #76ers #BenFranklin was #RightHanded and #Basketball was #Invented in 1891🏀 https://t.co/WQNLsvoWJR
Tue May 12 22:58:40 +0000 2015,Thoughts on the new #76ers logo? Benjamin Franklin dribbling a basketball?
Tue May 12 22:48:53 +0000 2015,RT @thephillyvoice: .@Sixers unveil new logo set. Also see a flashback of the #76ers logos since 1963. http://t.co/rySKgMfOiN http://t.co/…
Tue May 12 22:48:41 +0000 2015,And so it begins #hustle #76ers #regentsparksoftballleague https://t.co/vdxV8dyWMo
Tue May 12 22:42:30 +0000 2015,Picture This: New Sixers Logo Unveiled   http://t.co/Z3JOyE4Kx9  #76ers #michaelpreston #nba
Tue May 12 22:38:42 +0000 2015,Y is it that the teams that suck care more bout changing logos or jerseys instead of improving the roster smh. Bad PR moves #76ers #Browns
Tue May 12 22:38:40 +0000 2015,Damn @stephenasmith I don't know how u feel till u tell me. #76ers #newlogo
Tue May 12 22:20:54 +0000 2015,RT @SomosPhilly: Pelicans (@PeelingFlight) manda a Williams al paro después de meterlos en PO's. Pero tranquilos Brown seguirá siendo nues…
Tue May 12 22:15:50 +0000 2015,Pelicans (@PeelingFlight) manda a Williams al paro después de meterlos en PO's. Pero tranquilos Brown seguirá siendo nuestro líder. #76ers
Tue May 12 22:11:35 +0000 2015,#NBA #76ers- Philadelphia 76ers Hardwood Classics Logo Size XL T Shirt:  $7.25End Date:... http://t.co/qDHteQvyBH http://t.co/k33Sm3HFUt
Tue May 12 22:11:34 +0000 2015,#NBA #76ers- allen iverson jersey Men M Nike Rewind Nba Philadelphia 76ers Sixers Sewn ... http://t.co/j83mc9B3MA http://t.co/k33Sm3HFUt
Tue May 12 22:11:34 +0000 2015,#NBA #76ers- Vintage Looking Phila Philadelphia 76ers #15 Basketball Jersey 4XL Sewn L... http://t.co/aNACaedsMb http://t.co/k33Sm3HFUt
Tue May 12 22:11:34 +0000 2015,#NBA #76ers- Jerry Stackhouse Philadelphia 76ers Champion Jersey NBA Basketball Sixers ... http://t.co/J5itGlvxB3 http://t.co/k33Sm3HFUt
Tue May 12 22:10:56 +0000 2015,RT @steinersports: The Internet is buzzing over the @Sixers new logo. Thoughts? #76ers #MadeInPHILA http://t.co/tHCZEWmrck
Tue May 12 21:59:24 +0000 2015,I am in love can't wait till Big Ben is printed on a TSHIRT #buying #MadeinPHILA  #writerslife #76ers @ScottONeil http://t.co/quOZBcIWni
Tue May 12 21:58:02 +0000 2015,That #76ers logo - Ben Franklin - is ridiculous.  Absurd.  Unacceptable.  Just... Why? http://t.co/jJjnvFiHDX
Tue May 12 21:56:49 +0000 2015,Ben Franklin???  #76ers #nba http://t.co/RejRfU29cS
Tue May 12 21:56:32 +0000 2015,👍👎 very unsolid logo's? #76ers #TheStarters
Tue May 12 21:53:53 +0000 2015,RT @thephillyvoice: .@Sixers unveil new logo set. Also see a flashback of the #76ers logos since 1963. http://t.co/rySKgMfOiN http://t.co/…
Tue May 12 21:49:12 +0000 2015,#76ers Wire: Andrew Bogut finding unusual success as a former top draft pick http://t.co/3wCEtxs8QC #NBA http://t.co/nLngwiYXe2
Tue May 12 21:40:41 +0000 2015,Absolutely love the new #76ers secondary logo. Should be their main logo though. #BenFranklin #nba http://t.co/QpnvluNKc8
Tue May 12 21:26:01 +0000 2015,@DrJStuff @Sixers @ProHoopsHistory @UniWatch love those uni. Please bring them back #76ers
Tue May 12 21:16:04 +0000 2015,#76ers revealed a new logo today....but it looks just like the original(s) #confused #nbalogos #nba… https://t.co/Lx3iXAkQ4k
Tue May 12 21:11:16 +0000 2015,#76ers new logo. #Championship http://t.co/WyX4bMsQy9
Tue May 12 21:05:26 +0000 2015,.@uniwatch Funny seeing @NBA teams starting to co-opt soccer's practice of adding star around teams' logo for a major championship. #76ers
Tue May 12 21:03:30 +0000 2015,I'm not much on the NBA but the #76ers may have just become my favorite team.  Look at this logo!!! http://t.co/sTg64sNgT8
Tue May 12 21:01:21 +0000 2015,@Sixers score with #BenFranklin #logo http://t.co/aIOklGWMj0 #76ers #NBA #Basketball see also #FoundingFathers #Quakers #Design
Tue May 12 20:54:48 +0000 2015,Who ever came up with a dribbling Ben Franklin deserves to be fired. c'mon #76ers
Tue May 12 20:43:07 +0000 2015,I like the #76ers new primary logo but idk how i feel about the secondary aka the dribbling Ben Franklin
Tue May 12 20:40:15 +0000 2015,#NBA #76ers- PHILADELPHIA 76ERS GIRLS LARGE JACKET RED SEWN ART LONG SLEEVE:  $12.99End... http://t.co/NrddmxNVJs http://t.co/k33Sm3HFUt
Tue May 12 20:40:15 +0000 2015,#NBA #76ers- 2XL PHILADELPHIA 76ERS JACKET HARDWOOD CLASSIC MENS RED BLUE:  $37.99End D... http://t.co/OOHKlNA7oV http://t.co/k33Sm3HFUt
Tue May 12 20:34:21 +0000 2015,#Flyers #76ersNOTHING LIKE A GAME 7!!RANGERS VS CAPITALSWED. 7:30PMSAVE REAL BIG $$$$http://t.co/yLGPH0rPD7 http://t.co/CzGVl9yBYg
Tue May 12 20:33:13 +0000 2015,@TWroten_LOE @Sixers I Can't wait to see our new Point Guard and Zoo and Malik back #76ers #bestAnnouncers
Tue May 12 20:18:53 +0000 2015,The new #76ers logos are great!
Tue May 12 20:17:45 +0000 2015,#Philadelphia #76ers #Reveal #New #Team #Logos #and #Uniform #Unveiling #Date: Rebranding is… http://t.co/9nEKaDVmL9
Tue May 12 20:14:31 +0000 2015,We know which new Philadelphia 76ers logo is our favorite... #basketball #Philadelphia #76ers #Sixers... http://t.co/tzzkVxagjR
Tue May 12 20:09:21 +0000 2015,RT @thephillyvoice: .@Sixers unveil new logo set. Also see a flashback of the #76ers logos since 1963. http://t.co/rySKgMfOiN http://t.co/…
Tue May 12 20:06:34 +0000 2015,#76ers #philly https://t.co/q6T4WMXXkK
Tue May 12 19:59:46 +0000 2015,The Philadelphia #76ers unveiled a new set of logos today. What do you think? #BallinBen #MadeInPHILA @FrankDangelo23 http://t.co/D7JWWvo37d
Tue May 12 19:42:14 +0000 2015,RT @Sportsnet: #76ers unveil new logos announce new jerseys. Who knew Ben Franklin was a baller? http://t.co/Oq6bQQNF2X http://t.co/yijy2u…
Tue May 12 19:36:16 +0000 2015,RT @Sportsnet: #76ers unveil new logos announce new jerseys. Who knew Ben Franklin was a baller? http://t.co/Oq6bQQNF2X http://t.co/yijy2u…
Tue May 12 19:32:47 +0000 2015,logo all #76ERS are doing is putting a new code of paint on the same logo lala the #Browns a couple of months ago.
Tue May 12 19:30:59 +0000 2015,#NBA #76ers- Red Adidas Philadelphia 76ers 210 Fitted Hat Size 6 7/8 -7 ¼.:  $8.99End D... http://t.co/qF1WdGz9CD http://t.co/k33Sm3HFUt
Tue May 12 19:30:59 +0000 2015,#NBA #76ers- NBA Philadelphia 76ers Adjustable Hat Baseball Cap NEW Licensed Supercool:... http://t.co/aWPSwmonDE http://t.co/k33Sm3HFUt
Tue May 12 19:22:28 +0000 2015,RT @Sportsnet: #76ers unveil new logos announce new jerseys. Who knew Ben Franklin was a baller? http://t.co/Oq6bQQNF2X http://t.co/yijy2u…
Tue May 12 19:21:13 +0000 2015,RT @Sportsnet: #76ers unveil new logos announce new jerseys. Who knew Ben Franklin was a baller? http://t.co/Oq6bQQNF2X http://t.co/yijy2u…
Tue May 12 19:20:53 +0000 2015,RT @Sportsnet: #76ers unveil new logos announce new jerseys. Who knew Ben Franklin was a baller? http://t.co/Oq6bQQNF2X http://t.co/yijy2u…
Tue May 12 19:15:06 +0000 2015,RT @Sportsnet: #76ers unveil new logos announce new jerseys. Who knew Ben Franklin was a baller? http://t.co/Oq6bQQNF2X http://t.co/yijy2u…
Tue May 12 19:14:10 +0000 2015,RT @76ersblogger1: #MadeInPHILA: Twitter Reacts To The New Logos #76ers #philly http://t.co/gxog4YqXYd
Tue May 12 19:14:01 +0000 2015,RT @Sportsnet: #76ers unveil new logos announce new jerseys. Who knew Ben Franklin was a baller? http://t.co/Oq6bQQNF2X http://t.co/yijy2u…
Tue May 12 19:13:39 +0000 2015,RT @Sportsnet: #76ers unveil new logos announce new jerseys. Who knew Ben Franklin was a baller? http://t.co/Oq6bQQNF2X http://t.co/yijy2u…
Tue May 12 19:13:31 +0000 2015,RT @Sportsnet: #76ers unveil new logos announce new jerseys. Who knew Ben Franklin was a baller? http://t.co/Oq6bQQNF2X http://t.co/yijy2u…
Tue May 12 19:11:30 +0000 2015,RT @Sportsnet: #76ers unveil new logos announce new jerseys. Who knew Ben Franklin was a baller? http://t.co/Oq6bQQNF2X http://t.co/yijy2u…
Tue May 12 19:11:18 +0000 2015,RT @Sportsnet: #76ers unveil new logos announce new jerseys. Who knew Ben Franklin was a baller? http://t.co/Oq6bQQNF2X http://t.co/yijy2u…
Tue May 12 19:11:00 +0000 2015,#76ers unveil new logos announce new jerseys. Who knew Ben Franklin was a baller? http://t.co/Oq6bQQNF2X http://t.co/yijy2uSk9f
Tue May 12 19:09:43 +0000 2015,RT @dyonba: Los 76ers dan a conocer sus luegos logos: La franquicia de Pennsylvania da a conocer sus… http://t.co/8u1AgpC916 #76ers #NBA
Tue May 12 19:08:02 +0000 2015,76ers reveal new logos #NBA #Sixers #76ers http://t.co/qsNlqyRjHE
Tue May 12 19:08:01 +0000 2015,76ers reveal new logos #NBA #Sixers #76ers http://t.co/p5IzC2FLO9
Tue May 12 19:07:55 +0000 2015,76ers reveal new logos #NBA #Sixers #76ers http://t.co/gJAjmHsVqV
Tue May 12 19:05:24 +0000 2015,#MadeInPHILA: Twitter Reacts To The New Logos #76ers #philly http://t.co/gxog4YqXYd
Tue May 12 19:00:44 +0000 2015,#76ers Tweets: .@MaxRappaport shines some light on KAT's game. »… http://t.co/fikPNU4iqh #NBA http://t.co/nLngwiYXe2
Tue May 12 18:54:59 +0000 2015,#76ers new secondary logo for next season. #BallinBen #MrStealYoGirl #FoundingBaller http://t.co/gXjikitpG4
Tue May 12 18:53:42 +0000 2015,Was going to make a joke about new logos and bad teams but then I remembered that I'm a Browns fan :( #76ers
Tue May 12 18:47:24 +0000 2015,RT @steinersports: The Internet is buzzing over the @Sixers new logo. Thoughts? #76ers #MadeInPHILA http://t.co/tHCZEWmrck
Tue May 12 18:45:26 +0000 2015,RT @steinersports: The Internet is buzzing over the @Sixers new logo. Thoughts? #76ers #MadeInPHILA http://t.co/tHCZEWmrck
Tue May 12 18:33:05 +0000 2015,Los 76ers dan a conocer sus luegos logos: La franquicia de Pennsylvania da a conocer sus… http://t.co/8u1AgpC916 #76ers #NBA
Tue May 12 18:30:19 +0000 2015,I wonder what #highschool will sue the #76ers for ripping off their logo. #NBA http://t.co/uYicL5Abqy
Tue May 12 18:22:19 +0000 2015,#InsightSports: who else loves the @Sixers new secondary logo? @NBA #NBA #76ers #Basketball #Sports http://t.co/e00bzpNXu4
Tue May 12 18:21:50 +0000 2015,The #76ers released their new logos today and this one by far is the best out of all of them. http://t.co/b4L6f6wpUN
Tue May 12 18:21:37 +0000 2015,Picture This: New Sixers Logo Unveiled   http://t.co/lHDqP0Djr1  #76ers #michaelpreston #nba #thesixers
Tue May 12 18:18:49 +0000 2015,76rs Reveal New Logo Uniforms 2 Follow #76ers #Chamberlain #LatestPosts #Scott #WellsFargo http://t.co/FhugZPfwby
Tue May 12 18:17:52 +0000 2015,At least we have Dribbling Ben #76ers http://t.co/ONAvIiQSe7 http://t.co/h9cTjJwHXL
Tue May 12 18:16:55 +0000 2015,This. #76ers http://t.co/ZpBKj9OUNu
Tue May 12 18:15:20 +0000 2015,RT @steinersports: The Internet is buzzing over the @Sixers new logo. Thoughts? #76ers #MadeInPHILA http://t.co/tHCZEWmrck
Tue May 12 18:14:56 +0000 2015,BIG BEN #76ERS https://t.co/mzRH1DGNYc
